measure,item1,item2,r,n_pair,status
GAToRS Societal Negative (S4),gators_17,gators_20,0.240414883499685,100,ok (9/30 empty cells)
GAToRS Societal Negative (S4),gators_18,gators_19,0.25812353044983444,100,ok (11/35 empty cells)
GAToRS Societal Negative (S4),gators_18,gators_20,0.09657220290879873,100,ok (9/35 empty cells)
GAToRS Societal Negative (S4),gators_19,gators_20,0.5113143126798071,100,ok (9/25 empty cells)
GAToRS Societal Negative (S4),gators_16,gators_16,1.0,100,diagonal
GAToRS Societal Negative (S4),gators_17,gators_17,1.0,100,diagonal
GAToRS Societal Negative (S4),gators_18,gators_18,1.0,100,diagonal
GAToRS Societal Negative (S4),gators_19,gators_19,1.0,100,diagonal
GAToRS Societal Negative (S4),gators_20,gators_20,1.0,100,diagonal
GAToRS Positive,gators_1,gators_2,0.3595751933492192,100,ok (17/49 empty cells)
GAToRS Positive,gators_1,gators_3,0.39708625824599353,100,ok (20/49 empty cells)
GAToRS Positive,gators_1,gators_4,0.20466828789954267,100,ok (11/42 empty cells)
GAToRS Positive,gators_1,gators_5,0.28091906548939444,100,ok (16/49 empty cells)
GAToRS Positive,gators_1,gators_11,-0.0529505191620611,100,ok (15/49 empty cells)
GAToRS Positive,gators_1,gators_12,0.12120729665590022,100,ok (9/35 empty cells)
GAToRS Positive,gators_1,gators_13,0.3290804373819888,100,ok (23/49 empty cells)
GAToRS Positive,gators_1,gators_14,-0.13603500948190347,100,ok (15/49 empty cells)
GAToRS Positive,gators_1,gators_15,0.4232981012877666,100,ok (19/42 empty cells)
GAToRS Positive,gators_2,gators_3,0.16232671549263636,100,ok (15/49 empty cells)
GAToRS Positive,gators_2,gators_4,0.09833673300980285,100,ok (9/42 empty cells)
GAToRS Positive,gators_2,gators_5,0.04222954150481317,100,ok (14/49 empty cells)
GAToRS Positive,gators_2,gators_11,0.03912989200727073,100,ok (16/49 empty cells)
GAToRS Positive,gators_2,gators_12,-0.040248210192376836,100,ok (8/35 empty cells)
GAToRS Positive,gators_2,gators_13,0.1591130936692567,100,ok (19/49 empty cells)
GAToRS Positive,gators_2,gators_14,0.17899722277375313,100,ok (12/49 empty cells)
GAToRS Positive,gators_2,gators_15,0.09285386708110682,100,ok (13/42 empty cells)
GAToRS Positive,gators_3,gators_4,0.5111531849961927,100,ok (16/42 empty cells)
GAToRS Positive,gators_3,gators_5,0.28180097547233846,100,ok (20/49 empty cells)
GAToRS Positive,gators_3,gators_11,0.19247602306063916,100,ok (19/49 empty cells)
GAToRS Positive,gators_3,gators_12,0.2524932403966658,100,ok (9/35 empty cells)
GAToRS Positive,gators_3,gators_13,0.31947879331311735,100,ok (23/49 empty cells)
GAToRS Positive,gators_3,gators_14,0.08837313807777968,100,ok (19/49 empty cells)
GAToRS Positive,gators_3,gators_15,0.3602189109832504,100,ok (15/42 empty cells)
GAToRS Positive,gators_4,gators_5,0.3433341921190719,100,ok (11/42 empty cells)
GAToRS Positive,gators_4,gators_11,0.17581442366571054,100,ok (13/42 empty cells)
GAToRS Positive,gators_4,gators_12,0.18466314430940206,100,ok (7/30 empty cells)
GAToRS Positive,gators_4,gators_13,0.1355262412353544,100,ok (18/42 empty cells)
GAToRS Positive,gators_4,gators_14,0.04871911162610831,100,ok (13/42 empty cells)
GAToRS Positive,gators_4,gators_15,0.2649307042737413,100,ok (12/36 empty cells)
