exp_sid,participant_number,n_full,n_leave_one_out,cooks_distance,full_beta_like_c,loo_beta_like_c,delta_beta_like_c,dfbetas_like_c,full_beta_ment_c,loo_beta_ment_c,delta_beta_ment_c,dfbetas_ment_c,full_beta_like_x_ment,loo_beta_like_x_ment,delta_beta_like_x_ment,dfbetas_like_x_ment,crosses_like_c,crosses_ment_c,crosses_like_x_ment,dfbetas_exclude_flag,manual_exclude_flag,exclude_flag,exclusion_reason,max_abs_dfbetas,cooks_threshold,cooks_crosses_threshold
356d6504b5544ddcb690eb6d20063ed4,50,102,101,0.012697365027329151,0.30137334403474053,0.313844201773252,0.012470857738511476,0.1379849931783239,0.03958796558046786,0.04056057801882564,0.0009726124383577853,0.03934778887238259,-0.05243942644203587,-0.049103144883780245,0.0033362815582556257,0.1437460686138822,False,False,False,False,False,False,,0.1437460686138822,0.0392156862745098,False
d14543fe53d641f3af028e703af3092c,51,102,101,0.23024436358981765,0.30137334403474053,0.2612094527036686,-0.040163891331071955,-0.44439720086121376,0.03958796558046786,0.050605546364567836,0.011017580784099978,0.4457247568303374,-0.05243942644203587,-0.042702391064074925,0.009737035377960945,0.4195271085777259,False,False,False,False,False,False,,0.4457247568303374,0.0392156862745098,True
74dc6bcfe87f4248847e2a64f90bc1ca,52,102,101,0.011123991670168849,0.30137334403474053,0.3120780923356304,0.010704748300889855,0.11844370710063663,0.03958796558046786,0.035562298630444994,-0.004025666950022863,-0.16286147181860175,-0.05243942644203587,-0.04915433412388901,0.0032850923181468594,0.14154054372262737,False,False,False,False,False,False,,0.16286147181860175,0.0392156862745098,False
5ff4662ff28f41589cdcda6c6aa93568,53,102,101,0.10269762445870635,0.30137334403474053,0.3247445115336932,0.023371167498952683,0.2585925086735351,0.03958796558046786,0.04479643977422373,0.00520847419375587,0.21071285420654795,-0.05243942644203587,-0.06162344148502277,-0.009184015042986902,-0.39569983332293157,False,False,False,False,False,False,,0.39569983332293157,0.0392156862745098,True
df333f2e67a647d69bf090537633a167,54,102,101,0.0009126783650121532,0.30137334403474053,0.3020286391989424,0.0006552951642018745,0.0072505757549421734,0.03958796558046786,0.04029781994276414,0.0007098543622962861,0.02871770756390355,-0.05243942644203587,-0.052484841943975846,-4.541550193997573e-05,-0.001956759267467513,False,False,False,False,False,False,,0.02871770756390355,0.0392156862745098,False
7ef7153ef781485ab8ae506f38dfef3b,55,102,101,0.0016009864314792727,0.30137334403474053,0.30356187236737486,0.002188528332634332,0.024215180172936664,0.03958796558046786,0.038242327219375684,-0.0013456383610921732,-0.054438841251335454,-0.05243942644203587,-0.052718465204031464,-0.0002790387619955939,-0.012022583923859013,False,False,False,False,False,False,,0.054438841251335454,0.0392156862745098,False
f582a4098ccc4e26a3e07ae72b71605f,56,102,101,0.05619392800880332,0.30137334403474053,0.329184682158315,0.027811338123574447,0.30772119943367504,0.03958796558046786,0.041709404210886085,0.002121438630418228,0.08582444151789285,-0.05243942644203587,-0.054298123956384885,-0.0018586975143490142,-0.0800833070485097,False,False,False,False,False,False,,0.30772119943367504,0.0392156862745098,True
4ffbdd7ec010402886737610a08d48fe,57,102,101,0.0008065032702800756,0.30137334403474053,0.30097956006950866,-0.0003937839652318753,-0.004357060187484685,0.03958796558046786,0.03862263581410011,-0.0009653297663677479,-0.039053162741161565,-0.05243942644203587,-0.05200808199780508,0.0004313444442307912,0.01858478278704841,False,False,False,False,False,False,,0.039053162741161565,0.0392156862745098,False
e6e25c421e8c4061a2f8ad2efd66a109,58,102,101,0.002017283074246396,0.30137334403474053,0.30077618124371264,-0.0005971627910278943,-0.006607364575403141,0.03958796558046786,0.038057936576977765,-0.0015300290034900924,-0.061898507384504274,-0.05243942644203587,-0.05177897982202716,0.0006604466200087131,0.028455813305282494,False,False,False,False,False,False,,0.061898507384504274,0.0392156862745098,False
4fd8825c09d445c9a86d8dc79e00cd98,59,102,101,0.003326435813280832,0.30137334403474053,0.3021716897665863,0.0007983457318457843,0.008833372384843934,0.03958796558046786,0.04132815103353395,0.0017401854530660898,0.07040054918652774,-0.05243942644203587,-0.05251551019326933,-7.608375123346195e-05,-0.0032781226446982007,False,False,False,False,False,False,,0.07040054918652774,0.0392156862745098,False
2a8b5848f5ae4523afca35451eabe58b,60,102,101,0.002177581181006748,0.30137334403474053,0.3039933482247161,0.0026200041899755444,0.02898928589045927,0.03958796558046786,0.04047170080503974,0.0008837352245718855,0.03575219240898764,-0.05243942644203587,-0.0524950475859964,-5.562114396052975e-05,-0.002396476627204474,False,False,False,False,False,False,,0.03575219240898764,0.0392156862745098,False
