exp_sid,participant_number,n_full,n_leave_one_out,cooks_distance,full_beta_like_c,loo_beta_like_c,delta_beta_like_c,dfbetas_like_c,full_beta_ment_c,loo_beta_ment_c,delta_beta_ment_c,dfbetas_ment_c,full_beta_like_x_ment,loo_beta_like_x_ment,delta_beta_like_x_ment,dfbetas_like_x_ment,crosses_like_c,crosses_ment_c,crosses_like_x_ment,dfbetas_exclude_flag,custom_exclude_flag,dfbetas_used_for_exclusion,exclude_flag,exclusion_reason,max_abs_dfbetas,cooks_threshold,cooks_crosses_threshold
9f2a4e88194e4080ad8aad6a59b6a1d1,25,99,98,0.003218746775462559,0.23439069313776092,0.23329290564039404,-0.0010977874973668866,-0.011898200548340582,0.050638179803989665,0.05290025361571434,0.002262073811724677,0.08945002623567541,-0.0719810021435328,-0.07226326480466243,-0.0002822626611296286,-0.011832427606180576,False,False,False,False,False,False,False,,0.08945002623567541,0.04040404040404041,False
8b081f52ad9343fbbda7ef81e6dd3a04,26,99,98,0.004357756894396136,0.23439069313776092,0.24039370968377322,0.006003016546012291,0.06506276937091984,0.050638179803989665,0.051403063093428354,0.0007648832894386892,0.03024606445328845,-0.0719810021435328,-0.06981421942394792,0.0021667827195848838,0.09083135390705063,False,False,False,False,False,False,False,,0.09083135390705063,0.04040404040404041,False
9cdcc1da3e10496c9a623f7b5284a5ba,27,99,98,0.00021915062654940897,0.23439069313776092,0.23457416619480254,0.000183473057041611,0.001988544443377504,0.050638179803989665,0.05004046662442007,-0.000597713179569595,-0.023635594610922746,-0.0719810021435328,-0.07187012196801142,0.00011088017552138285,0.004648087864568219,False,False,False,False,False,False,False,,0.023635594610922746,0.04040404040404041,False
6bba52ff679e449391b18a4f3cb3378a,28,99,98,0.017466006313165888,0.23439069313776092,0.22215400526675338,-0.01223668787100754,-0.13262545500464554,0.050638179803989665,0.04908276745604246,-0.0015554123479472048,-0.06150624909321264,-0.0719810021435328,-0.0762786964919804,-0.004297694348447595,-0.18015899463281757,False,False,False,False,False,False,False,,0.18015899463281757,0.04040404040404041,False
1f73ad75111d4a03a9da913787843eae,29,99,98,0.013026287290986188,0.23439069313776092,0.21631172528282872,-0.01807896785493221,-0.1959461059275447,0.050638179803989665,0.053168694114807465,0.0025305143108177997,0.1000650687520335,-0.0719810021435328,-0.07507860692387996,-0.0030976047803471657,-0.1298513383574467,False,False,False,False,False,False,False,,0.1959461059275447,0.04040404040404041,False
b6d5b977f46a4cf597738d6c4b413a9d,30,99,98,0.002226484187019838,0.23439069313776092,0.23735668300119162,0.0029659898634306903,0.03214642387901923,0.050638179803989665,0.05146855217486571,0.000830372370876048,0.03283572356271234,-0.0719810021435328,-0.07204102784776012,-6.0025704227320564e-05,-0.0025162725984985914,False,False,False,False,False,False,False,,0.03283572356271234,0.04040404040404041,False
bbec2a47208a49b19e637fdbe08204c7,31,99,98,3.72991774790199e-05,0.23439069313776092,0.23454605609145113,0.00015536295369020237,0.0016838774218347525,0.050638179803989665,0.05059323665915941,-4.4943144830257575e-05,-0.0017772034950155752,-0.0719810021435328,-0.07199788225135265,-1.6880107819847168e-05,-0.0007076127354695964,False,False,False,False,False,False,False,,0.0017772034950155752,0.04040404040404041,False
cef0e506fa7c47b2bb92964ece39c629,32,99,98,0.0034307424783057163,0.23439069313776092,0.23071736007332438,-0.0036733330644365403,-0.03981285411461525,0.050638179803989665,0.04960601909423264,-0.0010321607097570282,-0.040815114912986256,-0.0719810021435328,-0.07190569801637331,7.530412715948953e-05,0.0031567428348309667,False,False,False,False,False,False,False,,0.040815114912986256,0.04040404040404041,False
da6b1f80b3814716b99154d8a3760901,33,99,98,0.0024479052772785346,0.23439069313776092,0.22706099499438406,-0.0073296981433768615,-0.0794418033343218,0.050638179803989665,0.0508342567137194,0.0001960769097297324,0.007753542182676333,-0.0719810021435328,-0.07227637511961874,-0.0002953729760859364,-0.01238201093397148,False,False,False,False,False,False,False,,0.0794418033343218,0.04040404040404041,False
5edab9ad89db4ce29278fcd6967dc22f,35,99,98,0.0023428951916208657,0.23439069313776092,0.23673124854028488,0.0023405554025239528,0.025367748895417524,0.050638179803989665,0.049871809654863174,-0.0007663701491264913,-0.030304859899039735,-0.0719810021435328,-0.07236782234767349,-0.0003868202041406865,-0.016215471234435345,False,False,False,False,False,False,False,,0.030304859899039735,0.04040404040404041,False
