exp_sid,participant_number,n_full,n_leave_one_out,full_beta_like_c,loo_beta_like_c,delta_beta_like_c,dfbetas_like_c,full_beta_ment_c,loo_beta_ment_c,delta_beta_ment_c,dfbetas_ment_c,full_beta_like_x_ment,loo_beta_like_x_ment,delta_beta_like_x_ment,dfbetas_like_x_ment,crosses_like_c,crosses_ment_c,crosses_like_x_ment,exclude_flag
9cdcc1da3e10496c9a623f7b5284a5ba,27,99,98,0.23888451651824916,0.2387913888660516,-9.312765219754437e-05,-0.0010385765250455793,0.058054409845137316,0.05743402708014653,-0.0006203827649907886,-0.025801486572876738,-0.03788245860110219,-0.03787950852388988,2.950077212307556e-06,0.00013058946800393524,False,False,False,False
6bba52ff679e449391b18a4f3cb3378a,28,99,98,0.23888451651824916,0.23217778119437152,-0.006706735323877638,-0.07479473285010985,0.058054409845137316,0.05728659980165706,-0.0007678100434802548,-0.031932931804883144,-0.03788245860110219,-0.04021052643363637,-0.0023280678325341836,-0.10305531613184718,False,False,False,False
1f73ad75111d4a03a9da913787843eae,29,99,98,0.23888451651824916,0.22293626424272692,-0.01594825227552224,-0.1778578117026652,0.058054409845137316,0.060113685805647105,0.002059275960509789,0.085644515036987,-0.03788245860110219,-0.04031706398601264,-0.00243460538491045,-0.10777135618300758,False,False,False,False
b6d5b977f46a4cf597738d6c4b413a9d,30,99,98,0.23888451651824916,0.2417899333808994,0.002905416862650251,0.032401737591530234,0.058054409845137316,0.059091309948072136,0.0010369001029348207,0.04312428647769497,-0.03788245860110219,-0.037968700520549896,-8.624191944770626e-05,-0.0038176242755032217,False,False,False,False
bbec2a47208a49b19e637fdbe08204c7,31,99,98,0.23888451651824916,0.23883975379625658,-4.476272199258058e-05,-0.0004992020217584903,0.058054409845137316,0.05804178458268843,-1.2625262448884289e-05,-0.0005250799311917854,-0.03788245860110219,-0.03784928948714427,3.316911395791905e-05,0.0014682791785434034,False,False,False,False
cef0e506fa7c47b2bb92964ece39c629,32,99,98,0.23888451651824916,0.23584884043240079,-0.003035676085848371,-0.03385441215372442,0.058054409845137316,0.05697294407061904,-0.0010814657745182726,-0.0449777560481927,-0.03788245860110219,-0.03780101041198126,8.144818912093205e-05,0.0036054228149732756,False,False,False,False
da6b1f80b3814716b99154d8a3760901,33,99,98,0.23888451651824916,0.23232590364174563,-0.006558612876503528,-0.0731428443610848,0.058054409845137316,0.05814523182411637,9.082197897905542e-05,0.003777252050490128,-0.03788245860110219,-0.038025036680606465,-0.00014257807950427553,-0.006311426519213765,False,False,False,False
17341d7a428142d89bf00c2b7dbcbcff,34,99,98,0.23888451651824916,0.22811124309566233,-0.010773273422586827,-0.12014550577160533,0.058054409845137316,0.06193309051047366,0.003878680665336344,0.16131287449392345,-0.03788245860110219,-0.04102458876550639,-0.0031421301644041985,-0.1390909718758519,False,False,False,False
5edab9ad89db4ce29278fcd6967dc22f,35,99,98,0.23888451651824916,0.2420994899051076,0.003214973386858444,0.035853968283820904,0.058054409845137316,0.0572467122167715,-0.0008076976283658138,-0.033591841503743836,-0.03788245860110219,-0.0382694750823887,-0.0003870164812865076,-0.017131848681488336,False,False,False,False
cb2739d8df89442f92479d3a7e8b92dd,36,99,98,0.23888451651824916,0.24410496835438855,0.005220451836139395,0.05821942891510404,0.058054409845137316,0.05904658358086207,0.0009921737357247579,0.041264133636342064,-0.03788245860110219,-0.038951950846260304,-0.0010694922451581143,-0.04734263318494185,False,False,False,False
af0dfcdcede944e5adbf92a4c0ba9b92,37,99,98,0.23888451651824916,0.24109296317251588,0.002208446654266727,0.024628998990241405,0.058054409845137316,0.05962948750469005,0.001575077659552733,0.06550688925858758,-0.03788245860110219,-0.03811315288075253,-0.00023069427965034112,-0.010212018561888523,False,False,False,False
d48744259ced44b59415148e3901862e,38,99,98,0.23888451651824916,0.24030919371741277,0.0014246771991636153,0.015888259393465436,0.058054409845137316,0.06004953335136845,0.001995123506231135,0.08297643851859378,-0.03788245860110219,-0.03795757120693543,-7.511260583323992e-05,-0.0033249689856353058,False,False,False,False
7d8eefccdb224f898923a6c601c8ab83,39,99,98,0.23888451651824916,0.2405155230957403,0.0016310065774911564,0.01818928216921069,0.058054409845137316,0.05784759942153892,-0.0002068104235983942,-0.008601167970364467,-0.03788245860110219,-0.03804363668813243,-0.00016117808703024206,-0.007134782964784632,False,False,False,False
fc090a6ff748439ea823340006f8409b,40,99,98,0.23888451651824916,0.2408360914749274,0.001951574956678248,0.021764319072206967,0.058054409845137316,0.05704979535128017,-0.0010046144938571436,-0.04178154010219371,-0.03788245860110219,-0.03811942374859714,-0.00023696514749495245,-0.010489607667805594,False,False,False,False
