exp_sid,participant_number,n_full,n_leave_one_out,cooks_distance,full_beta_like_c,loo_beta_like_c,delta_beta_like_c,dfbetas_like_c,full_beta_mentism_c,loo_beta_mentism_c,delta_beta_mentism_c,dfbetas_mentism_c,full_beta_like_x_mentism,loo_beta_like_x_mentism,delta_beta_like_x_mentism,dfbetas_like_x_mentism,crosses_like_c,crosses_mentism_c,crosses_like_x_mentism,dfbetas_exclude_flag,custom_exclude_flag,dfbetas_used_for_exclusion,exclude_flag,exclusion_reason,max_abs_dfbetas,cooks_threshold,cooks_crosses_threshold
32015503ad8c45578f32bc2dcda58aed,63,100,99,0.003574994259520929,0.2329171564899848,0.22593293698048597,-0.006984219509498818,-0.07644406902949145,0.04983475260711049,0.05196312043199622,0.0021283678248857282,0.08479730877942888,-0.06980909765707793,-0.07171867059321206,-0.0019095729361341268,-0.08121940398166115,False,False,False,False,False,False,False,,0.08479730877942888,0.04,False
9e259b7e4e614530b3f3da2205837a46,64,100,99,0.0013483933081528917,0.2329171564899848,0.23246842079889407,-0.0004487356910907181,-0.004911526921380651,0.04983475260711049,0.04859463281523399,-0.0012401197918764997,-0.049408198942717335,-0.06980909765707793,-0.06922374990027821,0.0005853477567997201,0.024896454610171707,False,False,False,False,False,False,False,,0.049408198942717335,0.04,False
eaf2b998190941bfad65f6b552861e4f,65,100,99,0.0017274527715861866,0.2329171564899848,0.23030332469458706,-0.002613831795397731,-0.02860905759435417,0.04983475260711049,0.049136761846228,-0.0006979907608824915,-0.027808979906430845,-0.06980909765707793,-0.0697787311872863,3.036646979164004e-05,0.0012915697174139713,False,False,False,False,False,False,False,,0.02860905759435417,0.04,False
86e5152601e44bc79e68c7fd0560dde1,66,100,99,0.0007215030169540449,0.2329171564899848,0.2317730192229091,-0.0011441372670756844,-0.01252287504775513,0.04983475260711049,0.049955165799235535,0.00012041319212504481,0.004797438917444794,-0.06980909765707793,-0.06955624414898402,0.0002528535080939115,0.010754557122932093,False,False,False,False,False,False,False,,0.01252287504775513,0.04,False
2691c893a7e44918a20165dac64aa688,67,100,99,0.005489051018530297,0.2329171564899848,0.23720967062490703,0.004292514134922237,0.04698266519169157,0.04983475260711049,0.04767159402480409,-0.002163158582306403,-0.08618342379450131,-0.06980909765707793,-0.07035988740508997,-0.0005507897480120372,-0.023426607178100925,False,False,False,False,False,False,False,,0.08618342379450131,0.04,False
a4847afbee3440488223989d8a8cc3e4,68,100,99,0.001857809438662702,0.2329171564899848,0.23329977731128101,0.00038262082129622565,0.0041878827599146125,0.04983475260711049,0.05131040918100293,0.0014756565738924393,0.05879233123413224,-0.06980909765707793,-0.07046363095621665,-0.0006545332991387126,-0.02783910655427439,False,False,False,False,False,False,False,,0.05879233123413224,0.04,False
7359e266ef9948aca580b49b20692727,69,100,99,0.0008211921335103949,0.2329171564899848,0.23449153068204381,0.0015743741920590248,0.017231928242279183,0.04983475260711049,0.04885405345122548,-0.0009806991558850078,-0.03907249873304731,-0.06980909765707793,-0.0699534304295376,-0.0001443327724596627,-0.0061388709131616715,False,False,False,False,False,False,False,,0.03907249873304731,0.04,False
8699d4cf905a4fa8bc11601c72ba7be4,70,100,99,0.0005261688490785608,0.2329171564899848,0.23254882657612144,-0.0003683299138633467,-0.004031465122581294,0.04983475260711049,0.050668719944921295,0.0008339673378108051,0.03322648699601441,-0.06980909765707793,-0.0699041704673645,-9.507281028656167e-05,-0.004043708852497956,False,False,False,False,False,False,False,,0.03322648699601441,0.04,False
856e3316894747d2b9c9ee1f0f216ce8,71,100,99,0.0033404707831293724,0.2329171564899848,0.23996552110449879,0.007048364614513997,0.0771461536116005,0.04983475260711049,0.05020051993246138,0.00036576732535088807,0.014572708939945722,-0.06980909765707793,-0.07012181551270523,-0.00031271785562729526,-0.013300752942116526,False,False,False,False,False,False,False,,0.0771461536116005,0.04,False
18ae6b1aeb664685b0fd2c4e318f50d4,72,100,99,0.0014408501834175802,0.2329171564899848,0.2294871978628657,-0.0034299586271190896,-0.03754177452515474,0.04983475260711049,0.049702888994741734,-0.00013186361236875582,-0.005253640524003246,-0.06980909765707793,-0.07015872855986911,-0.0003496309027911787,-0.014870766652023326,False,False,False,False,False,False,False,,0.03754177452515474,0.04,False
75489e519b9a42568ddcff822ad0a78d,73,100,99,0.00056215548433102,0.2329171564899848,0.23029769660968613,-0.002619459880298658,-0.028670658423206298,0.04983475260711049,0.05006014327911353,0.00022539067200304241,0.008979896325425382,-0.06980909765707793,-0.07022003963906315,-0.00041094198198521337,-0.017478495959128544,False,False,False,False,False,False,False,,0.028670658423206298,0.04,False
